"","NAME","Median Family Income","Total Population","Year","State"
"546","Missouri",72834,5951584,2020,"MO"
"547","Montana",72773,1032820,2020,"MT"
"548","Nebraska",80125,1872618,2020,"NE"
"549","Nevada",74077,2992756,2020,"NV"
"550","New Hampshire",97001,1313821,2020,"NH"
"551","New Jersey",104804,8702841,2020,"NJ"
"552","New Mexico",62611,2054102,2020,"NM"
"553","New York",87270,18945673,2020,"NY"
"554","North Carolina",70978,10106940,2020,"NC"
"555","North Dakota",86798,734984,2020,"ND"
"556","Ohio",74391,11361029,2020,"OH"
"557","Oklahoma",67511,3839604,2020,"OK"
"558","Oregon",80630,4087588,2020,"OR"
"559","Pennsylvania",80996,12374980,2020,"PA"
"560","Rhode Island",89330,1016357,2020,"RI"
"561","South Carolina",68813,4956293,2020,"SC"
"562","South Dakota",77042,845317,2020,"SD"
"563","Tennessee",68793,6614088,2020,"TN"
"564","Texas",76073,28039855,2020,"TX"
"565","Utah",84590,3103352,2020,"UT"
"566","Vermont",83023,598864,2020,"VT"
"567","Virginia",93284,8264926,2020,"VA"
"568","Washington",92422,7365480,2020,"WA"
"569","West Virginia",61707,1760220,2020,"WV"
"570","Wisconsin",80844,5662467,2020,"WI"
"571","Wyoming",81290,567055,2020,"WY"
"572","Puerto Rico",25468,3219830,2020,NA
